Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3009.9246475997893
ACCEGCATKHNRXUHW,1797.4037677451724
NKCE6GJ5XVJDXNNZ,10557.073383690415
NKCEB8BK3ZXDHDHM,8447.63375681498
TOPEFDXSAHRNPF94,5123.038235098029
ACCE558KZHEPZYMG,8356.770981994952
ACCEAZCVAMFHDPY7,4520.183864665381
NKCDYNY37JPBGBVM,2301.2478496804333
NKCEY8KWY33FCUYD,6725.147433871549
RNGE4YPTQYRECV9J,3993.558941608081
NKCE88AHBHJZREXH,3684.8191993729893
CLTEJ5ZZGBP4JGGE,6943.625202788778
WATE3NWH5FZWAMDA,6993.223903757879
CAGE53FSFZVFPFHQ,1658.8347044455566
PCSEAKVBFFPGCHNZ,3427.1408417435996
WATDFFH3KJYBTYGG,6416.67129457657
NKCDWHFQSCHHYZMP,2484.3172726323905
RNGEB2PG3Q5RKDW6,3061.193075722795
NKCE5UY9HHPZGGUZ,3968.6565076056168
KTAEHETW3ZCMFMJR,3838.428762678087
BRAEBBYRVF9MHJHU,6825.13159286246
NKCEAX7HAQ2RJA3Q,9304.892018403996
CRTECN2RQZWBSP9W,4519.9588204848105
WATDEWZ9UHSEHGZG,8596.976930258337
PTPEYW8HNV6G9YYR,2597.2118234081177
ACCEAMGZRRYVAHDC,4503.538718790906
SRTEHHXG8MUXTGPA,5370.09903986163
SKIE4S4NN4MHYM3Z,4442.619423090992
HMBE7G34YHWPWKYN,6615.501799518929
LLIEGTMFJBD7ZZZM,12372.373510959103
ACCEJGH6JVTM4CBH,4266.020007855957
ACCDQDYBXJ9HZF37,8971.765895671375
RNGE88FRGZCXNKUG,2823.166645198667
NKCE7M3QNNPZDXHQ,9216.469347713475
VLBEGFFDP9H6WG2T,3163.0842174999584
TOPEAFG4YEQSH5TT,2273.319165658451
WATEYAP3K2QQQWDH,4903.541504710636
PCSEBDFUFJWGARNX,9442.043071175598
SWTEGXQFZY95SKG7,4376.988794295718
BRAEGJFXSM9ZQ6SK,5751.769381311407
CAGE6FYKP34GA4GF,6638.485901878157
HMBEJCMH78VJF3M8,3917.015775027174
HIFEB7J3GSTVN5XJ,9528.175267070495
PBXE6ZHNGZREWWHR,4159.731586064108
PCSEAKVBNXFGZBKB,6023.291737533721
BRAEBBMQQNZ9RZWR,5197.571084419909
ACCEGKFCXHZZH44S,3617.814492230015
SHODXQRRGKZ74U9M,3975.6205954210955
DREE2Y6DVEKVVQQS,4093.780343910276
PBXE8ZHHG5Y525BT,6239.218453236402
CTTEH9FXZHGFKUA3,7202.190211044132
ACCDXFZXGQTBTM6N,3295.7947040614717
NKCE9PFF3TT4KSQJ,7028.262333883035
BRAE6NZAZK77HXZK,952.2268306524132
NKCE4TV42BHDP63U,3074.7601306573115
AIREDGGD9RJPZGYW,5007.694571098323
PCSEDAPMHR2HNHWP,7298.785099016397
PACE95FMAFXHZB5C,4029.053164658655
WATDG4KP445AV5XC,12326.520993315502
ACCE9EYRRNZYZUBG,2021.9507087781828
ACCE8XZMAHNC8JVS,3090.1785590445934
SHOED5DCSTQKZCGF,3471.176038455179
NKCE64Z4NGBHNAY7,3284.5649125851946
PBXE8WQTZ5GA2YYQ,849.1305059112218
MUGEGZUMGYAPVSZH,4338.604515232413
PBXE4RB3Y3GXWPFV,3297.8417933907085
PCSE2ZFDJJGFNHC7,3434.3966953336617
CRTECN2QT5HKHZ8F,4403.009115748244
MUGEACY8Q7ZYSTN8,1522.6414891347504
ACCEGG9VGRMQGHRD,6357.693303963532
PCSE76X48PVSDDVK,1097.1992524967825
PBXE6677X2D6UFZZ,5111.397931727089
WCKEGGGD2TXHHTJC,1271.5094065431367
NKCE7MMGF4PPGNA6,2644.1852535850876
CRTECN2QYTPHK5YQ,4519.387492144572
OIDEJFCWMMR6JQBE,5093.073931304747
WATE5HFY4MJX6CHD,4885.132781660927
DREE4FC4TAR8M5GN,7650.812939183537
HACEGPF9DZVUZBFY,7307.3742995249395
PBXE4Q7YF5KUYJYW,10483.528199861386
SHIED9YEH65NSA8N,9350.399555450855
WATDHMQJ68MVBRFV,12160.704233866774
HMBEGWTFEV4TF2RH,2825.368149860044
SHIE2FH7YTVDHFGT,2661.41531988183
CRTECN2QYRY2KWZF,3903.4392683983456
TSHEDJXPN4HNT2UP,5475.076880077705
SHOECZH5WGBZHZES,2358.1946237851025
NKCEDCT9MSAYG6H5,4775.272259900928
SOCEGGVYBTZPKXVP,4026.5707073145477
PBXECARAQBCDSAZW,3285.6174613318613
CAGDU85YDHP9ZJH7,2071.954258400721
TCVEHSMFEGNCAGYN,4589.882709468145
RNGEDAPFZ2GKRUER,4342.818937540159
CAGDY9Q7HSNDHGFC,3217.7441633791473
NKCECKHYZVHBQU9F,2149.5980513113873
NKCDQSVCRH8W73GF,5980.877696181051
WATD9H76RKGUUZHY,12855.963903221036
NKCE5HYVDQVATMKF,1779.8767442197673
